utt_id,file_id,wav,start,end,speaker,lang,condition,text,speaker_raw,speaker_id,has_discourse_marker,discourse_marker_type,n_discourse_markers,has_repetition,n_repetitions,has_discourse_marker_near_switch,switch_direction,first_switch_direction,n_switches,switch_type,switch_direction_class,interaction_id_raw,speaker_raw_ann,dialog_act,turn_length_words,interaction_id,audience_l2_ratio,audience_proficiency_proxy,gender,age,age_bucket,nationality,dialogue_act
train_405_5,train_405_5,data/masac_wav16k_clips/train/train_1/audios/train_405_5.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,"Oh haan, Rosesh Kunvaara hai, par vo handsome kaha hai!",INDRAVARDHAN,INDRAVARDHAN,True,fillers,2,False,0,False,"HI→EN,EN→HI",HI→EN,2,insertional,L1→L2,train_405,INDRAVARDHAN,I,10,train_405,0.5,mid_l2,male,,unknown,unknown,-1
train_249_1,train_249_1,data/masac_wav16k_clips/train/train_1/audios/train_249_1.wav,0.0,-1.0,MAYA,CS,code_switched,tamil newspaper mein?,MAYA,MAYA,True,fillers,1,False,0,False,EN→HI,EN→HI,1,insertional,L2→L1,train_249,MAYA,I,3,train_249,0.8333333333333334,high_l2,female,,unknown,unknown,i
train_48_1,train_48_1,data/masac_wav16k_clips/train/train_1/audios/train_48_1.wav,0.0,-1.0,INDRAVARDHAN,EN,monolingual_EN,Hi.,INDRAVARDHAN,INDRAVARDHAN,False,,0,False,0,False,,,0,,,train_48,INDRAVARDHAN,-1,1,train_48,1.0,high_l2,male,,unknown,unknown,-1
train_91_0,train_91_0,data/masac_wav16k_clips/train/train_1/audios/train_91_0.wav,0.0,-1.0,SAHIL,HI,monolingual_HI,"Usne tumhe mendhak diya, aur tumne rakh liya?",SAHIL,SAHIL,True,fillers,3,False,0,False,,,0,,,train_91,SAHIL,-1,8,train_91,0.3333333333333333,mid_l2,male,,unknown,unknown,-1
train_129_0,train_129_0,data/masac_wav16k_clips/train/train_1/audios/train_129_0.wav,0.0,-1.0,SAHIL,CS,code_switched,Champagne kholo! Come on! Open the bottle!,SAHIL,SAHIL,False,,0,False,0,False,"EN→HI,HI→EN,EN→HI",EN→HI,3,alternational,L2→L1,train_129,SAHIL,"I, A",7,train_129,1.0,high_l2,male,,unknown,unknown,-1
train_290_0,train_290_0,data/masac_wav16k_clips/train/train_1/audios/train_290_0.wav,0.0,-1.0,MAYA,HI,monolingual_HI,Mujhase ulti baatein mat kiya karo tum!,MAYA,MAYA,True,fillers,3,False,0,False,,,0,,,train_290,MAYA,-1,7,train_290,0.6,mid_l2,female,,unknown,unknown,i
train_354_1,train_354_1,data/masac_wav16k_clips/train/train_1/audios/train_354_1.wav,0.0,-1.0,MONISHA,CS,code_switched,dilli se li . wo humare ghar ke peeche na jasmeet johri di dukaan hai wo manjeet de cycle job de saamne,MONISHA,MONISHA,True,fillers,1,True,1,False,"HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,4,alternational,L1→L2,train_354,MONISHA,I,22,train_354,1.0,high_l2,female,,unknown,unknown,-1
train_270_5,train_270_5,data/masac_wav16k_clips/train/train_1/audios/train_270_5.wav,0.0,-1.0,MONISHA,CS,code_switched,"Moze, cassette... Lekin maine to tumhe tiffin mein raita ke saath chhole aur paraathe diye the...",MONISHA,MONISHA,True,fillers,5,False,0,False,"EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN",EN→HI,6,alternational,L2→L1,train_270,MONISHA,I,16,train_270,0.7777777777777778,high_l2,female,,unknown,unknown,-1
train_213_6,train_213_6,data/masac_wav16k_clips/train/train_1/audios/train_213_6.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,hahaha. maan gyi? arey budhu me tumhari tang kheench rha tha. me or tu hai support me esa kabhi hua hai?,INDRAVARDHAN,INDRAVARDHAN,True,fillers,2,False,0,False,"EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",EN→HI,9,alternational,L2→L1,train_213,INDRAVARDHAN,I,21,train_213,1.0,high_l2,male,,unknown,unknown,-1
train_337_2,train_337_2,data/masac_wav16k_clips/train/train_1/audios/train_337_2.wav,0.0,-1.0,DUSHYANT,EN,monolingual_EN,"1, 2, and...",DUSHYANT,DUSHYANT,False,,0,False,0,False,,,0,,,train_337,DUSHYANT,-1,3,train_337,0.8333333333333334,high_l2,male,,unknown,unknown,i
train_191_0,train_191_0,data/masac_wav16k_clips/train/train_1/audios/train_191_0.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,"I am not being funny Maya, Rosesh kutte ka dialogue bohot achchha bolta hai. Bete bolna to 'bhow bhow' vaala dialogue.",INDRAVARDHAN,INDRAVARDHAN,True,connectors,1,True,1,False,"EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN",EN→HI,6,alternational,L2→L1,train_191,INDRAVARDHAN,"A, I",21,train_191,1.0,high_l2,male,,unknown,unknown,-1
train_256_6,train_256_6,data/masac_wav16k_clips/train/train_1/audios/train_256_6.wav,0.0,-1.0,MAYA,HI,monolingual_HI,"Sahil, bachchhon ko kya jaroorat hai chashme ki?",MAYA,MAYA,True,fillers,3,False,0,False,,,0,,,train_256,MAYA,-1,8,train_256,0.75,high_l2,female,,unknown,unknown,i
train_1_1,train_1_1,data/masac_wav16k_clips/train/train_1/audios/train_1_1.wav,0.0,-1.0,RADHABAI,CS,code_switched,"Sahil baba aap bolte the Radha Bai Mera Ek shirt dholo. ""Us department mein jao"", aisa maine aapko Kabhi bola tha?",RADHABAI,RADHABAI,True,fillers,3,False,0,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,6,alternational,L1→L2,train_1,RADHABAI,I,21,train_1,1.0,high_l2,female,,unknown,unknown,i
train_349_4,train_349_4,data/masac_wav16k_clips/train/train_1/audios/train_349_4.wav,0.0,-1.0,INDRAVARDHAN,HI,monolingual_HI,Aray waah!,INDRAVARDHAN,INDRAVARDHAN,True,fillers,1,False,0,False,,,0,,,train_349,INDRAVARDHAN,-1,2,train_349,0.5714285714285714,mid_l2,male,,unknown,unknown,-1
train_394_1,train_394_1,data/masac_wav16k_clips/train/train_1/audios/train_394_1.wav,0.0,-1.0,SAHIL,CS,code_switched,"Ji, maine sadak pe se khareedi hai, ordinary hai bilkul, 150 rupay ki hai, no show-sha.",SAHIL,SAHIL,True,connectors,2,True,1,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN",HI→EN,7,alternational,L1→L2,train_394,SAHIL,I,16,train_394,1.0,high_l2,male,,unknown,unknown,-1
train_14_0,train_14_0,data/masac_wav16k_clips/train/train_1/audios/train_14_0.wav,0.0,-1.0,MAYA,EN,monolingual_EN,How middle class can you get?,MAYA,MAYA,False,,0,False,0,False,,,0,,,train_14,MAYA,-1,6,train_14,1.0,high_l2,female,,unknown,unknown,i
train_112_6,train_112_6,data/masac_wav16k_clips/train/train_1/audios/train_112_6.wav,0.0,-1.0,BABU,CS,code_switched,"Uske baad, tata, bye bye, see you, sayonara! Naughty boy!",BABU,BABU,False,,0,True,1,False,"HI→EN,EN→HI,HI→EN",HI→EN,3,alternational,L1→L2,train_112,BABU,I,10,train_112,0.8571428571428571,high_l2,male,,unknown,unknown,i
train_29_0,train_29_0,data/masac_wav16k_clips/train/train_1/audios/train_29_0.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,"Dekho Maya, tum jaana chaahati ho to beshak chali jaao... Lekin...",INDRAVARDHAN,INDRAVARDHAN,True,fillers,5,False,0,False,"HI→EN,EN→HI",HI→EN,2,insertional,L1→L2,train_29,INDRAVARDHAN,-1,11,train_29,0.75,high_l2,male,,unknown,unknown,-1
train_228_0,train_228_0,data/masac_wav16k_clips/train/train_1/audios/train_228_0.wav,0.0,-1.0,MAYA,CS,code_switched,It's okay. I am so glad that you are back. Ab kaisa lag raha hai tumhe?,MAYA,MAYA,True,fillers,2,False,0,False,EN→HI,EN→HI,1,insertional,L2→L1,train_228,MAYA,A,16,train_228,0.6666666666666666,high_l2,female,,unknown,unknown,i
train_109_5,train_109_5,data/masac_wav16k_clips/train/train_1/audios/train_109_5.wav,0.0,-1.0,SAHIL,HI,monolingual_HI,Arey vah iska kya matlab?,SAHIL,SAHIL,True,fillers,3,False,0,False,,,0,,,train_109,SAHIL,-1,5,train_109,0.7142857142857143,high_l2,male,,unknown,unknown,-1
train_374_4,train_374_4,data/masac_wav16k_clips/train/train_1/audios/train_374_4.wav,0.0,-1.0,ROSESH,EN,monolingual_EN,Doctor Desai ne.,ROSESH,ROSESH,False,,0,False,0,False,,,0,,,train_374,ROSESH,-1,3,train_374,0.75,high_l2,male,,unknown,unknown,-1
train_215_0,train_215_0,data/masac_wav16k_clips/train/train_1/audios/train_215_0.wav,0.0,-1.0,INDRAVARDHAN,EN,monolingual_EN,"Monisha, Monisha!",INDRAVARDHAN,INDRAVARDHAN,False,,0,True,1,False,,,0,,,train_215,INDRAVARDHAN,-1,2,train_215,0.5,mid_l2,male,,unknown,unknown,-1
train_265_9,train_265_9,data/masac_wav16k_clips/train/train_1/audios/train_265_9.wav,0.0,-1.0,SAHIL,CS,code_switched,"Ek minute, ek minute... Rosesh baith jao, baith ja... Aankhe badi kar...ab dad ko ghooro...Daant nikaal...",SAHIL,SAHIL,False,,0,True,3,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,8,alternational,L1→L2,train_265,SAHIL,I,16,train_265,0.7,high_l2,male,,unknown,unknown,-1
train_250_0,train_250_0,data/masac_wav16k_clips/train/train_1/audios/train_250_0.wav,0.0,-1.0,MAYA,HI,monolingual_HI,chakkar aa rha hai,MAYA,MAYA,False,,0,False,0,False,,,0,,,train_250,MAYA,-1,4,train_250,0.5,mid_l2,female,,unknown,unknown,i
train_276_3,train_276_3,data/masac_wav16k_clips/train/train_1/audios/train_276_3.wav,0.0,-1.0,SAHIL,EN,monolingual_EN,To!?,SAHIL,SAHIL,False,,0,False,0,False,,,0,,,train_276,SAHIL,-1,1,train_276,1.0,high_l2,male,,unknown,unknown,-1
train_32_3,train_32_3,data/masac_wav16k_clips/train/train_1/audios/train_32_3.wav,0.0,-1.0,MAYA,HI,monolingual_HI,Nahin Nahin I Hai Kyon kya hua,MAYA,MAYA,True,fillers,2,True,1,False,,,0,,,train_32,MAYA,-1,7,train_32,0.0,low_l2,female,,unknown,unknown,i
train_51_0,train_51_0,data/masac_wav16k_clips/train/train_1/audios/train_51_0.wav,0.0,-1.0,MONISHA,CS,code_switched,yah Meri Tarif Thi ya Burai,MONISHA,MONISHA,True,fillers,3,False,0,False,"HI→EN,EN→HI",HI→EN,2,insertional,L1→L2,train_51,MONISHA,-1,6,train_51,1.0,high_l2,female,,unknown,unknown,-1
train_77_3,train_77_3,data/masac_wav16k_clips/train/train_1/audios/train_77_3.wav,0.0,-1.0,SAHIL,EN,monolingual_EN,I wanted to surprise you!,SAHIL,SAHIL,False,,0,False,0,False,,,0,,,train_77,SAHIL,-1,5,train_77,0.75,high_l2,male,,unknown,unknown,-1
train_444_1,train_444_1,data/masac_wav16k_clips/train/train_1/audios/train_444_1.wav,0.0,-1.0,MAYA,CS,code_switched,"Haan, kyu ki Monisha khareed ke laati thi na uske liye t-shirts.",MAYA,MAYA,True,connectors,1,False,0,False,"HI→EN,EN→HI,HI→EN",HI→EN,3,alternational,L1→L2,train_444,MAYA,I,12,train_444,0.6666666666666666,high_l2,female,,unknown,unknown,i
train_401_1,train_401_1,data/masac_wav16k_clips/train/train_1/audios/train_401_1.wav,0.0,-1.0,ROSESH,CS,code_switched,"Hahaha! Aray Rosesh Bai, chala laukar laukar, mane jevan pirsa! Come on!",ROSESH,ROSESH,True,fillers,1,True,1,False,"EN→HI,HI→EN",EN→HI,2,insertional,L2→L1,train_401,ROSESH,I,12,train_401,1.0,high_l2,male,,unknown,unknown,-1
train_114_0,train_114_0,data/masac_wav16k_clips/train/train_1/audios/train_114_0.wav,0.0,-1.0,SAHIL,CS,code_switched,did you hear? kavi hai ! kavi nahi hai . tu Kauwa hai ee nahi aa aa ! Kauwa ! kaao kaao dophar baar kaao kaao kaao karke public ko bore kar raha tha ye,SAHIL,SAHIL,True,fillers,1,True,3,False,"EN→HI,HI→EN,EN→HI,HI→EN",EN→HI,4,alternational,L2→L1,train_114,SAHIL,"A, I",35,train_114,0.6666666666666666,high_l2,male,,unknown,unknown,-1
train_151_0,train_151_0,data/masac_wav16k_clips/train/train_1/audios/train_151_0.wav,0.0,-1.0,ROSESH,CS,code_switched,"Dad, advocate uncle ne kaha hai ki lease renewal paper Baa se sign karwa lijiye.",ROSESH,ROSESH,True,fillers,3,False,0,False,"EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",EN→HI,5,alternational,L2→L1,train_151,ROSESH,I,15,train_151,1.0,high_l2,male,,unknown,unknown,-1
train_188_1,train_188_1,data/masac_wav16k_clips/train/train_1/audios/train_188_1.wav,0.0,-1.0,MONISHA,HI,monolingual_HI,natak ka naam kya hai,MONISHA,MONISHA,True,connectors,1,False,0,False,,,0,,,train_188,MONISHA,-1,5,train_188,0.5,mid_l2,female,,unknown,unknown,-1
train_369_1,train_369_1,data/masac_wav16k_clips/train/train_1/audios/train_369_1.wav,0.0,-1.0,SAHIL,CS,code_switched,"no no no no, monisha, monisha, just a minute. kunku dad ko lagana or haar mujhe pehnana.",SAHIL,SAHIL,True,fillers,1,True,2,False,"EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",EN→HI,7,alternational,L2→L1,train_369,SAHIL,I,17,train_369,1.0,high_l2,male,,unknown,unknown,-1
train_376_6,train_376_6,data/masac_wav16k_clips/train/train_1/audios/train_376_6.wav,0.0,-1.0,ROSESH,CS,code_switched,monisha bhabhi isse Raddi mei bechne jaa rahi thi momma,ROSESH,ROSESH,True,fillers,1,False,0,False,HI→EN,HI→EN,1,insertional,L1→L2,train_376,ROSESH,-1,10,train_376,0.7777777777777778,high_l2,male,,unknown,unknown,-1
train_53_2,train_53_2,data/masac_wav16k_clips/train/train_1/audios/train_53_2.wav,0.0,-1.0,SAHIL,HI,monolingual_HI,achaa?,SAHIL,SAHIL,False,,0,False,0,False,,,0,,,train_53,SAHIL,-1,1,train_53,0.0,low_l2,male,,unknown,unknown,-1
train_95_4,train_95_4,data/masac_wav16k_clips/train/train_1/audios/train_95_4.wav,0.0,-1.0,MAYA,CS,code_switched,for once I will agree with you Indravardhan. iss baar sach mein usse Mere Peeth per Chhoda Bhukha,MAYA,MAYA,True,fillers,2,False,0,False,"EN→HI,HI→EN,EN→HI",EN→HI,3,alternational,L2→L1,train_95,MAYA,A,18,train_95,1.0,high_l2,female,,unknown,unknown,i
train_217_2,train_217_2,data/masac_wav16k_clips/train/train_1/audios/train_217_2.wav,0.0,-1.0,MAYA,CS,code_switched,"Tum Monisha ko lunch ke liye le jaana, I mean if you don't mind. But use Zodiac Bistro bilkul mat le jaana, warna vo to bechaari apane naakhoon chaba chaba kar hi pait bhar legi!",MAYA,MAYA,True,fillers,2,True,1,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,12,alternational,L1→L2,train_217,MAYA,"I, A",35,train_217,1.0,high_l2,female,,unknown,unknown,i
train_30_1,train_30_1,data/masac_wav16k_clips/train/train_1/audios/train_30_1.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,"Ek auraat jisne tume itna seba kiya itna saalo se, uska tumne ye bola?",INDRAVARDHAN,INDRAVARDHAN,True,fillers,4,True,1,False,"HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,4,alternational,L1→L2,train_30,INDRAVARDHAN,-1,14,train_30,0.5,mid_l2,male,,unknown,unknown,-1
train_274_1,train_274_1,data/masac_wav16k_clips/train/train_1/audios/train_274_1.wav,0.0,-1.0,SAHIL,CS,code_switched,"Kachha Kela ji, ye kavita bhais par hai.",SAHIL,SAHIL,True,connectors,1,False,0,False,"HI→EN,EN→HI",HI→EN,2,insertional,L1→L2,train_274,SAHIL,-1,8,train_274,1.0,high_l2,male,,unknown,unknown,-1
train_16_2,train_16_2,data/masac_wav16k_clips/train/train_1/audios/train_16_2.wav,0.0,-1.0,MONISHA,CS,code_switched,"Jhoote, makkar mummy ke chamche! I hate you! Mai ghar chod ke ja rahi hu!",MONISHA,MONISHA,True,fillers,2,False,0,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN",HI→EN,5,alternational,L1→L2,train_16,MONISHA,I,15,train_16,1.0,high_l2,female,,unknown,unknown,-1
