,name,Transcript,English Translation,LID_tags,Language,Type of code-switching
18,train_80_8.wav,Waah giragit mausee waah.,That chameleon aunty wow.,"['HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
19,train_254_4.wav,"Haan Maya, aur sunday ke rooj to 2 ribbon bhi baandhate the uss mein.","Yes Maya, and on Sundays he used to even tie two ribbons on it.","['HI', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER']",CSW,I
20,train_418_0.wav,"Mein aapke wo novel khareedi thi - Man, Woman and therefore.","I had bought that novel of yours – Man, Woman and Henceforth.","['HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'OTHER', 'EN', 'EN', 'EN', 'OTHER']",CSW,I
21,train_148_1.wav,Kam se kam 7 din...,At least 7 days...,"['HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
22,train_370_0.wav,"Tu ek kaam kar, ye mera naya mobile phone le or aadhi raat ko mujhe isse romantic sms bhejna... You know chaand, taare, phool, bhag, bagiche, kuch aisa bakwaas.","You do one thing, take this new mobile phone of mine and send me romantic messages from it at midnight... You know moon, stars, flowers, fields, gardens, some such nonsense.","['HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'EN', 'EN', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'OTHER', 'EN', 'EN', 'HI', 'OTHER', 'HI', 'OTHER', 'HI', 'OTHER', 'HI', 'OTHER', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
23,train_211_4.wav,Dad dad dad Pani pijiye aap!,Dad dad dad drink water!,"['EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
24,train_335_0.wav,10 minute aur sone do.,Let it sleep for 10 more minutes.,"['EN', 'EN', 'HI', 'HI', 'EN', 'OTHER']",CSW,-1
25,train_10_4.wav,"Monisha beta, ye gobi drawer mein kaise pahuchi?","Monisha beta, how did this gobi reach the drawer?","['HI', 'HI', 'OTHER', 'EN', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
26,train_193_2.wav,"Ye thoda sa chamboo tha, bondoo tha, down market tha, dha tha, but he was cute!","It was a bit of a bummer, it was a bummer, it was down market, it was a bummer, but he was cute!","['HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'HI', 'OTHER', 'EN', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER']",CSW,"I, A"
27,train_405_5.wav,"Oh haan, Rosesh Kunvaara hai, par vo handsome kaha hai!","Oh yes, Rosesh is single, but he is handsome!","['HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER']",CSW,I
28,train_249_1.wav,tamil newspaper mein?,In Tamil newspaper?,"['EN', 'EN', 'HI', 'OTHER']",CSW,I
29,train_48_1.wav,Hi.,Hi,"['EN', 'OTHER']",EN,-1
30,train_91_0.wav,"Usne tumhe mendhak diya, aur tumne rakh liya?","He gave you the frog, and you kept it?","['HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
31,train_129_0.wav,Champagne kholo! Come on! Open the bottle!,Champagne kholo! Come on! Open the bottle!,"['EN', 'HI', 'OTHER', 'EN', 'EN', 'OTHER', 'EN', 'EN', 'HI', 'OTHER']",CSW,"I, A"
32,train_290_0.wav,Mujhase ulti baatein mat kiya karo tum!,Don't talk back to me!,"['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
33,train_354_1.wav,dilli se li . wo humare ghar ke peeche na jasmeet johri di dukaan hai wo manjeet de cycle job de saamne,"Took from Delhi. That's Jasmeet Johri's shop behind our house, that's Manjeet's Cycle Job in front.","['HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI']",CSW,I
34,train_270_5.wav,"Moze, cassette... Lekin maine to tumhe tiffin mein raita ke saath chhole aur paraathe diye the...","Socks, cassettes... but I had given you chickpeas and parathas with raita in tiffin...","['EN', 'OTHER', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,I
35,train_213_6.wav,hahaha. maan gyi? arey budhu me tumhari tang kheench rha tha. me or tu hai support me esa kabhi hua hai?,"Hahaha. Did you agree? Hey idiot, I was pulling your leg. Has this ever happened in mein Aur Tu Hai Support?","['EN', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
36,train_337_2.wav,"1, 2, and...","1, 2, and...","['EN', 'OTHER', 'EN', 'OTHER', 'EN', 'OTHER']",EN,-1
37,train_191_0.wav,"I am not being funny Maya, Rosesh kutte ka dialogue bohot achchha bolta hai. Bete bolna to 'bhow bhow' vaala dialogue.","I am not being funny Maya, Rosesh the dog speaks dialogues very well. Speak the 'Bhav Bhava' dialogue, son.","['EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'OTHER']",CSW,"A, I"
38,train_256_6.wav,"Sahil, bachchhon ko kya jaroorat hai chashme ki?","Sahil, why do children need glasses?","['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
39,train_1_1.wav,"Sahil baba aap bolte the Radha Bai Mera Ek shirt dholo. ""Us department mein jao"", aisa maine aapko Kabhi bola tha?","Sahil Baba you used to say Radha Bai, wash one of my shirts. ""Go to that department"", did I ever tell you?","['HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'OTHER', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
40,train_349_4.wav,Aray waah!,Hey wow!,"['HI', 'HI', 'OTHER']",HI,-1
41,train_394_1.wav,"Ji, maine sadak pe se khareedi hai, ordinary hai bilkul, 150 rupay ki hai, no show-sha.","Yes, I have bought it from the street, it is absolutely ordinary, it cost Rs 150, showed off.","['HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'OTHER']",CSW,I
42,train_14_0.wav,How middle class can you get?,How middle class can you get?,"['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER']",EN,-1
43,train_112_6.wav,"Uske baad, tata, bye bye, see you, sayonara! Naughty boy!","After that, Tata, bye bye, see you, sayonara! Naughty boy!","['HI', 'HI', 'OTHER', 'HI', 'OTHER', 'EN', 'EN', 'OTHER', 'EN', 'EN', 'OTHER', 'HI', 'OTHER', 'EN', 'EN', 'OTHER']",CSW,I
44,train_29_0.wav,"Dekho Maya, tum jaana chaahati ho to beshak chali jaao... Lekin...","Look Maya, if you want to go then of course go... but...","['HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'OTHER']",CSW,-1
45,train_228_0.wav,It's okay. I am so glad that you are back. Ab kaisa lag raha hai tumhe?,It's okay. I'm so glad you're back. How are you feeling now?,"['EN', 'EN', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,A
46,train_109_5.wav,Arey vah iska kya matlab?,Hey what does that mean?,"['HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
47,train_374_4.wav,Doctor Desai ne.,Doctor Desai.,"['EN', 'EN', 'EN', 'OTHER']",EN,-1
48,train_215_0.wav,"Monisha, Monisha!","Monisha, Monisha!","['EN', 'OTHER', 'EN', 'OTHER']",EN,-1
49,train_265_9.wav,"Ek minute, ek minute... Rosesh baith jao, baith ja... Aankhe badi kar...ab dad ko ghooro...Daant nikaal...","One minute, one minute... Rosesh, sit down, sit down... widen your eyes... now stare at dad... bare your teeth...","['HI', 'EN', 'OTHER', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER']",CSW,I
50,train_250_0.wav,chakkar aa rha hai,I am feeling dizzy,"['HI', 'HI', 'HI', 'HI']",HI,-1
51,train_276_3.wav,To!?,So!?,"['EN', 'OTHER']",EN,-1
52,train_32_3.wav,Nahin Nahin I Hai Kyon kya hua,no no why what happened,"['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI']",HI,-1
53,train_51_0.wav,yah Meri Tarif Thi ya Burai,Was it a compliment or a bad thing?,"['HI', 'HI', 'HI', 'HI', 'EN', 'HI']",CSW,-1
54,train_77_3.wav,I wanted to surprise you!,I wanted to surprise you!,"['EN', 'EN', 'EN', 'EN', 'EN', 'OTHER']",EN,-1
55,train_444_1.wav,"Haan, kyu ki Monisha khareed ke laati thi na uske liye t-shirts.","Yes, because Monisha used to buy T-shirts for him.","['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'OTHER']",CSW,I
56,train_401_1.wav,"Hahaha! Aray Rosesh Bai, chala laukar laukar, mane jevan pirsa! Come on!","Hahaha! Hey Rosesh Bai, come and come, I ask for life! Come on!","['EN', 'OTHER', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'OTHER']",CSW,I
57,train_114_0.wav,did you hear? kavi hai ! kavi nahi hai . tu Kauwa hai ee nahi aa aa ! Kauwa ! kaao kaao dophar baar kaao kaao kaao karke public ko bore kar raha tha ye,"Did you hear? He is a poet! Not a poet. You are a crow, don't come! Crow! He was boring the public by doing Kaw Kaw Khao Kao Khao in the afternoon.","['EN', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN']",CSW,"A, I"
58,train_151_0.wav,"Dad, advocate uncle ne kaha hai ki lease renewal paper Baa se sign karwa lijiye.","Dad, Advocate Uncle have said to get the lease renewal paper signed by BAA.","['EN', 'OTHER', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,I
59,train_188_1.wav,natak ka naam kya hai,what is the name of the play,"['HI', 'HI', 'HI', 'HI', 'HI']",HI,-1
60,train_369_1.wav,"no no no no, monisha, monisha, just a minute. kunku dad ko lagana or haar mujhe pehnana.","No no no no, Monisha, Monisha, just a minute. Kunku should give it to dad and let me wear the necklace.","['EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'OTHER', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
61,train_376_6.wav,monisha bhabhi isse Raddi mei bechne jaa rahi thi momma,"Monisha Bhabhi was going to sell it as scrap, mother","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN']",CSW,-1
62,train_53_2.wav,achaa?,Good?,"['HI', 'OTHER']",HI,-1
63,train_95_4.wav,for once I will agree with you Indravardhan. iss baar sach mein usse Mere Peeth per Chhoda Bhukha,For once a villagry with you Indravardhan. This time he really left me hungry on my back.,"['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI']",CSW,A
64,train_217_2.wav,"Tum Monisha ko lunch ke liye le jaana, I mean if you don't mind. But use Zodiac Bistro bilkul mat le jaana, warna vo to bechaari apane naakhoon chaba chaba kar hi pait bhar legi!","You should take Monisha for lunch, I mean if you don't mind. But use Zodiac Bistro absolutely madly, the color of your eyes will be spoiled by eating it!","['HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'EN', 'EN', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,"I, A"
65,train_30_1.wav,"Ek auraat jisne tume itna seba kiya itna saalo se, uska tumne ye bola?",What did you say to a woman who served you so well for so many years?,"['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'OTHER']",CSW,-1
66,train_274_1.wav,"Kachha Kela ji, ye kavita bhais par hai.","Raw banana ji, this poem is on buffalo.","['HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1
67,train_16_2.wav,"Jhoote, makkar mummy ke chamche! I hate you! Mai ghar chod ke ja rahi hu!","Liar, deceitful mother's spoon! I hate you! I am leaving home!","['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'OTHER']",CSW,I
68,train_195_4.wav,"Oh, taareef please, taareef...","Oh, praise please, praise...","['EN', 'OTHER', 'HI', 'EN', 'OTHER', 'HI', 'OTHER']",CSW,I
69,train_75_1.wav,Dil aa gaya gadhe pe to pari kya cheej hai.,"I fell in love with the donkey, so what an angel.","['HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1
70,train_425_0.wav,I hate him. I hate him Momma!,I hate him. I hate him Momma!,"['EN', 'EN', 'EN', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER']",EN,-1
71,train_88_1.wav,"Bruce Lee ki gujarathi bahan ka naam kya, 'Rootli'. Uhh, can you believe it.","What is the name of Bruce Lee's Gujarati sister, 'Routli'. Get Up, Can You Believe It.","['EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'OTHER', 'OTHER', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER']",CSW,I
72,train_153_2.wav,han Kyunki Maya ab Tumhe Jeene Nahin Degi,Because Maya will not let you live anymore,"['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI']",HI,-1
73,train_116_2.wav,Kya Kam Aaegi?,What will be useful?,"['HI', 'HI', 'HI', 'OTHER']",HI,-1
74,train_308_0.wav,"Momma, sea facing room book karvaau, ya city facing?","Momma, book sea facing room, or city facing?","['EN', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'OTHER']",CSW,I
75,train_130_1.wav,Kyu nahi kar sakta!? Aray tabhi uski akal thikaane aaegi!,Why can't it!? Only then will his famine come to an end!,"['HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1
76,train_216_11.wav,Shut up! Shut up! Agali baar tum dad ke saamane detergent cake bhi nahi rakhogi!,shut up! shut up! Next time you won't even put the detergent cake in front of dad!,"['EN', 'EN', 'OTHER', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
77,train_130_0.wav,"Aap mom par harassment ka case nahi kar sakate hai, haan!","You can't file a harassment case against your mother, yes!","['HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'OTHER']",CSW,I
78,train_175_1.wav,Hmm.,Hmm.,"['HI', 'OTHER']",HI,-1
79,train_175_0.wav,Indravardhan.,Indravardhan.,"['HI', 'OTHER']",HI,-1
80,train_269_4.wav,Mujhe Ghar Tak pahuncha do please,please take me home,"['HI', 'HI', 'HI', 'HI', 'EN', 'EN']",CSW,I
81,train_308_1.wav,"See facing room book karvaao, aur momma ko uss hotel mein chodne ke baad, usi samundar mein doob marna! Maatru chaaya!","Book a sea facing room, and after leaving your mother in that hotel, drown yourself in the same sea! Mother's shadow!","['EN', 'EN', 'EN', 'EN', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER']",CSW,I
82,train_446_2.wav,toh fir iski photographs dekh kar tension unhe hona chaiye isse kyun?,So why should they feel tensed after seeing its photographs?,"['HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
83,train_216_10.wav,Pahali baar aksar insaan bhatak jaata hai Sahil. Lekin agali baar...,"Sahil, a person often goes astray for the first time. But next time...","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
84,train_195_5.wav,"Oh ho ho, fir to sochna padega!","Oh ho ho, then we will have to think!","['EN', 'EN', 'EN', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'OTHER']",CSW,-1
85,train_116_3.wav,mein kha Lunga,i will eat,"['HI', 'HI', 'HI']",HI,-1
86,train_315_4.wav,fantastic kya baat hai unbelievably brilliant,FANTASTIC WHAT THE FUCK UMBLIWBLI BRILLIANT,"['EN', 'HI', 'HI', 'HI', 'EN', 'EN']",CSW,I
87,train_289_0.wav,ahan you love her so much tch meri baat maano usse bhaga le jao everything is fair in love and war!,"Ahn you love her so much, obey me, take her away, everything is fair in love and war!","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER']",CSW,A
88,train_425_1.wav,"Dad, dad aap kyu karte hain aisa. Rosesh ke sar par doodh ka glass khali kar ke kya mila aap ko?","Dad, dad why do you do this. What did you get by emptying the glass of milk on Rosesh's head?","['EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
89,train_88_0.wav,"No, I mean, Monisha door to door jaa ke, logonko jokes suna rahi hai! Votes jeetane ke chakkar mein.","No, I, Monisha, am not going far away, telling jokes to people! In order to win votes.","['EN', 'OTHER', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
90,train_75_0.wav,"Kamal hai. Ye moonchho vaali Parul ko 'Chikudi, peppermint, aur K Rustam ki ice-cream', kehata hai","Wonderful. He calls the mustachioed Parul 'chikudi, peppermint, and Rustam's ice-cream'.","['HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'OTHER', 'EN', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI']",CSW,I
91,train_231_0.wav,rosesh Baba Ne 5 Saal Ki Umar Mein hi Kavita likhna Shuru kar diya tha vah apni Har Kavita sabse pahle Mujhe Suna the fir bhi mein Kabhi Koi Shikayat ki?,"Rosesh Baba started writing poetry at the age of 5. He first read all his poems to me, yet did I ever complain?","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1
92,train_274_0.wav,Wonderful! Har aurat ki kahaani!... I mean you know...,wonderful! Every woman's story!... I mean you know...,"['EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER']",CSW,I
93,train_30_0.wav,"Sahil baba, aapne mujhe Manthara kaha?","Sahil Baba, you called me Manthara?","['HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
94,train_376_7.wav,darling mujhe ! mei toh sirf tumhara dil rakhne ke liye,Darling me! I am just to keep your heart,"['HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI']",HI,I
95,train_188_0.wav,"everybody, pay attention. Sahil bhai, monisha bhabhi, beth jaiye. Dad, shanti diwas pe aap ye wala natak perform kijiega.","Everybody, pay attention. Sahil Bhai, Monisha Bhabhi, please sit down. Dad, please perform this play on Peace Day.","['EN', 'OTHER', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'OTHER', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'OTHER']",CSW,"A, I"
96,train_114_1.wav,nahi nahi sahil aisa mat bolo public taali baja rahi thi,"No no Sahil, don't say that, the public was clapping.","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI']",HI,I
97,train_396_2.wav,"To kya! Rosesh ko dialogue bolne ki jaroorat hi nahi padti! Vo chupchaap Kismi ke saamne baitha rehata, aur apane aap kabristaan ka feel aa jaata!","So what! Rosesh doesn't even need to speak dialogues! He would sit quietly in front of Kismi, and it would automatically feel like a graveyard!","['HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER']",CSW,I
98,train_217_3.wav,Monisha naakhoon nhi chabaati hai mom...,"Manisha doesn't bite nails, mother...","['HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,-1
