,Conversation,name,Speaker,Transcript,English Translation,LID_tags,Language from LID tool,Type of code-switching,Length of turn,Direction of code-switches,Number of code-switches,Start of code-switches,Length of code-switched segments
11,test_104,test_104_3.wav,MAYA,Tum thi mere sath wahan,you were there with me,"['HI', 'HI', 'HI', 'HI', 'HI']",HI,-1,5,-1,0,-1,-1
12,test_104,test_104_4.wav,MONISHA,"haan, lekin usne esa to nhi kaha tha ki biwi useless hai. Usne sirf itna kaha tha ki biwi alsi or nikammi hai.","Yes, but he did not say that his wife is useless. He just said that his wife is lazy and useless.","['HI', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,I,23,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[3, 5, 10, 11, 19, 21]","[2, 5, 1, 8, 2, 2]"
13,test_105,test_105_0.wav,DUSHYANT,Tumhare dimag per stress Chhaya Hua Hai Sahil. there for network problem weak signal no connection,"Sahil, there is stress on your mind. There is network problem weak signal no connection","['HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'EN', 'EN']",CSW,"I, A",16,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",5,"[2, 4, 8, 13, 14]","[2, 4, 5, 1, 2]"
14,test_105,test_105_1.wav,SAHIL,mera mobile phone kharab Nahin Hua Hai dushyant bhai,My mobile phone is not damaged Dushyant Bhai,"['HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI']",CSW,I,9,"['EN > HI', 'HI > EN']",2,"[1, 3]","[2, 6]"
15,test_107,test_107_0.wav,SAHIL,"dad, bye. Or karan kamaal kar rhe ho yaar, tum dono bedroom me araam se bethke araam se batein karo na.","Dad, bye. And because you are doing amazing friend, both of you can sit comfortably in the bedroom and talk comfortably.","['EN', 'OTHER', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'HI', 'EN', 'EN', 'HI', 'EN', 'HI', 'HI', 'EN', 'OTHER']",CSW,I,21,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",10,"[3, 7, 8, 11, 13, 14, 16, 17, 18, 20]","[4, 1, 3, 2, 1, 2, 1, 1, 2, 1]"
16,test_108,test_108_3.wav,MAYA,"Jab Sahil ne vo ghatiya, sadak chaap gaana dobara gaya.",When Sahil did that bad song Sadak Chaap again.,"['HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,10,-1,0,-1,-1
17,test_109,test_109_6.wav,SAHIL,Sorry will aage hain unfortunately. Padhu ya….okay the entire possession of late Mr Jaspal singh has been bestowed upon Mrs Monisha Sarabhai please check entire list,Sorry this will happen unfortunately. Padhu ya….okay the entire possession of late Mr Jaspal singh has been bestowed upon Mrs Monisha Sarabhai please check entire list,"['EN', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'HI', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'HI', 'EN', 'HI', 'EN', 'EN']",CSW,"I, A",26,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",10,"[2, 4, 5, 7, 13, 15, 20, 22, 23, 24]","[2, 1, 2, 6, 2, 5, 2, 1, 1, 2]"
18,test_10,test_10_0.wav,MAYA,This is just not done Monisha! Just not done!,This is just not done Monisha! Just not done!,"['EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'OTHER']",CSW,-1,9,-1,0,-1,-1
19,test_10,test_10_1.wav,MONISHA,"Hush, mom!","Hush, mom!","['EN', 'OTHER', 'EN', 'OTHER']",EN,-1,2,-1,0,-1,-1
20,test_10,test_10_2.wav,MAYA,"Don't you dare hush me! 9 baje shaam ki dinner party mein hume bula ar ke, khud 10:30 baje pohochati ho! Samjhati kya ho tum apne aap ko!?","Don't you dare hush me! After inviting us to the dinner party at 9 o'clock in the evening, you yourself reach at 10:30 o'clock! Who do you think you are!?","['EN', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,28,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",11,"[6, 9, 11, 14, 15, 17, 19, 21, 22, 24, 25]","[3, 2, 3, 1, 2, 2, 2, 1, 2, 1, 3]"
21,test_10,test_10_3.wav,MONISHA,"Rule number 16 mom! 9 baje rakhi hui party mein sharp 9 baje sirf middle class log pohochate hai, haath jod ke, ""Aaiye, aaiye!"" kehene ke liye. Khud ki di hui party mein kam se kam ek ghanta late pohochna is a style statement... Rosesh, rule dikhaao na...","Rule number 16 mom! At 9 o'clock we keep the party sharp, at 9 o'clock only middle class people talk, join hands, ""Aaiye, aaiye!"" To say. Arriving at least an hour late at the party I attended is a style statement... Rosesh, show me the rules...","['EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'EN', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'OTHER', 'OTHER', 'HI', 'OTHER', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'OTHER', 'EN', 'HI', 'EN', 'OTHER']",CSW,"I, A",48,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",18,"[5, 8, 9, 10, 12, 14, 17, 30, 31, 33, 34, 37, 38, 39, 43, 44, 45, 46]","[3, 1, 1, 2, 2, 3, 13, 1, 2, 1, 3, 1, 1, 4, 1, 1, 1, 2]"
22,test_111,test_111_0.wav,DUSHYANT,California ke Spencer Tower per 135 floor per jakar jump Mar sakte ho,You can die from a jump by going to the 135th floor at Spencer Tower in California,"['EN', 'HI', 'EN', 'EN', 'EN', 'EN', 'HI', 'EN', 'HI', 'EN', 'EN', 'HI', 'EN']",CSW,I,13,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",8,"[1, 2, 6, 7, 8, 9, 11, 12]","[1, 4, 1, 1, 1, 2, 1, 1]"
23,test_111,test_111_1.wav,MONISHA,135 wah floor! taklif Nahin Hogi?,135 That floor! Will it not hurt?,"['EN', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'OTHER']",CSW,I,6,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[1, 3, 4]","[2, 1, 2]"
24,test_111,test_111_2.wav,DUSHYANT,not at all. Lift hain us building mein,not at all. Lift is in our building,"['EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'EN', 'EN', 'HI']",CSW,I,8,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[4, 5, 7]","[1, 2, 1]"
25,test_111,test_111_3.wav,ROSESH,"yah lift se upar chadhne Ki Nahin, Upar Se jump Marne Ke Baad ki taklif ke baat kar rahe hain. will you cut out this nonsense please. Monisha bhabhi ab suicide nahin kar rahi hai ok. arey Rivera board Mein salwar kameez ki bahut badi sale Lagi Hai pata hai aapko","He is talking about the offer after jumping from the top, not about riding the lift. will you cut out this nonsense please. Monisha bhabhi is not committing suicide now, ok. Are Rivera board? You have heard that my salwar kameez has sold very well.","['HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI']",CSW,I,51,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",16,"[1, 3, 8, 10, 14, 15, 20, 27, 29, 31, 35, 36, 37, 39, 45, 46]","[2, 5, 2, 4, 1, 5, 7, 2, 2, 4, 1, 1, 2, 6, 1, 5]"
26,test_112,test_112_7.wav,INDRAVARDHAN,"Naturally, tum uski aankhe nahi noch logi!","Naturally, you won't gouge out his eyes!","['EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,7,['HI > EN'],1,[1],[6]
27,test_113,test_113_1.wav,MONISHA,wo mummy ji pata nahi kahan rakh diya!,"Mom, I don't know where I kept it!","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,8,-1,0,-1,-1
28,test_113,test_113_2.wav,MAYA,oh my god acha sahil kahan hai,oh my god where is sahil,"['EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI']",CSW,I,7,['HI > EN'],1,[3],[4]
29,test_113,test_113_3.wav,MONISHA,wo.. wo bhi pata nahin,I don't know that...that too,"['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI']",HI,-1,5,-1,0,-1,-1
30,test_113,test_113_4.wav,MAYA,toh tum apne husband ko bhi idhar udhar rakh deti ho,So you keep your husband here too,"['HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN']",CSW,I,11,"['EN > HI', 'HI > EN', 'EN > HI']",3,"[3, 5, 10]","[2, 5, 1]"
31,test_114,test_114_0.wav,SAHIL,"ofcourse darling, ek gadi hai! or wo humari hone wali hai!","Of course darling, there's a car! And she is going to be ours!","['EN', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,11,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[2, 5, 6]","[3, 1, 5]"
32,test_114,test_114_1.wav,MONISHA,"sahil, tumne char panch extra keychain mangi ki nahi? wo log dete hai!","Sahil, didn't you ask for four-five extra key chains? Those people give!","['HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'OTHER']",CSW,I,13,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[4, 5, 10, 11]","[1, 5, 1, 2]"
33,test_115,test_115_0.wav,MAYA,Kshama? You mean Sahil Kshama ko pyaar karta hai!?,Kshama? You mean she loves Sahil Kshama!?,"['HI', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,A,9,"['EN > HI', 'HI > EN']",2,"[1, 3]","[2, 6]"
34,test_115,test_115_1.wav,SAHIL,"Nahi, nahi! Ek minute, ek minute, mai kshama chahata hu.","No. No! Just a minute, just a minute, I'm sorry.","['HI', 'OTHER', 'HI', 'OTHER', 'HI', 'EN', 'OTHER', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,-1,10,-1,0,-1,-1
35,test_115,test_115_2.wav,INDRAVARDHAN,"Dekha, Kshama chahata hai! Chahata ka matlab pyaar karna hi hua na!?","Look, he wants Kshama! Chahta means to love, right?","['HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'OTHER']",CSW,-1,12,-1,0,-1,-1
36,test_116,test_116_0.wav,MAYA,Tumhaare joote kaha hai Indu?,Where are your shoes Indu?,"['HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,5,-1,0,-1,-1
37,test_116,test_116_1.wav,INDRAVARDHAN,"Joote, vo, farsh kharab na ho iss liye mai bahar chodh ke aya.",I left the shoes outside so that they don't spoil the floor.,"['HI', 'OTHER', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,13,-1,0,-1,-1
38,test_116,test_116_2.wav,MAYA,Ye Monisha ka ghar hai. Yaha apane pair kharab na ho iski fikar karani padati hai!,This is Monisha's house. Here you have to be careful that your feet don't get damaged!,"['HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,16,-1,0,-1,-1
39,test_118,test_118_0.wav,MAYA,jo rosesh ne kia haina this is waise kaun hai ye ladki tum naam jaante ho uska,"By the way, who is this girl? Do you know her name?","['HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI']",CSW,I,17,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[5, 7, 10, 11, 15, 16]","[2, 3, 1, 4, 1, 1]"
40,test_118,test_118_1.wav,INDRAVARDHAN,rita,rita,['HI'],HI,-1,1,-1,0,-1,-1
41,test_118,test_118_2.wav,MAYA,rita oh my god ek aur middle class,Rita oh my god another middle class,"['HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'EN', 'EN']",CSW,I,8,"['EN > HI', 'HI > EN', 'EN > HI']",3,"[1, 4, 6]","[3, 2, 2]"
42,test_119,test_119_0.wav,MONISHA,"Rosesh bhaiya me unka swagat kese karungi... aap bhi na. Sahil jaldi karo. Or rosesh bhaiya aap darwaza kholiye please lekin haan, teen baar kholiega darwaza, haan","Rosesh bhaiya, how will I welcome you... you too. Sahil do it quickly. Or rosesh bhaiya, please open the door, but please, you will open the door again, yes.","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI']",CSW,I,27,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[9, 10, 13, 14, 19, 20]","[1, 3, 1, 5, 1, 7]"
43,test_119,test_119_1.wav,ROSESH,teen baar kyun,why three times,"['HI', 'HI', 'HI']",HI,-1,3,-1,0,-1,-1
44,test_119,test_119_2.wav,MONISHA,kyunki serial me patang ji ki entry pe teen baar darwaza khulta hai na... teen baar ho gya rosesh bhaiya hatiye na,"Because in the serial, the door opens thrice on the entry of Patang ji...it happened thrice Rosesh bhaiya, move away.","['HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN']",CSW,I,22,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",9,"[1, 3, 6, 7, 13, 14, 16, 17, 21]","[2, 3, 1, 6, 1, 2, 1, 4, 1]"
45,test_121,test_121_0.wav,MAYA,"Sahil, mera symbol champagne bottle hai. Yaad rakhaana.","Sahil, my symbol is champagne bottle. Remember.","['HI', 'OTHER', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER']",CSW,I,8,"['EN > HI', 'HI > EN']",2,"[2, 4]","[2, 4]"
46,test_121,test_121_1.wav,MONISHA,"Monisha, happy normal delivery day, beta.","Monisha, happy normal delivery day, beta.","['EN', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'OTHER']",CSW,I,6,['HI > EN'],1,[5],[1]
47,test_121,test_121_2.wav,ROSESH,Vote for champagne bottle! Vote for champagne bottle!,Vote for champagne bottle! Vote for champagne bottle!,"['EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'EN', 'EN', 'HI', 'OTHER']",CSW,-1,8,-1,0,-1,-1
48,test_121,test_121_3.wav,MONISHA,"Sahil, meri nishaani bartan vaali hai.","Sahil, my symbol is utensils.","['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,6,-1,0,-1,-1
49,test_121,test_121_5.wav,SAHIL,Ye kya bol rahe hai aap dad.,"What are you saying, Dad?","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,I,7,['EN > HI'],1,[6],[1]
50,test_122,test_122_2.wav,MONISHA,Chhipakalee!?,Lizard!?,"['HI', 'OTHER']",HI,-1,1,-1,0,-1,-1
51,test_122,test_122_3.wav,MAYA,"Haan, vo middle class logo ki gharon ke tubelight ke aaspaas ghoomti hai na, vo chhipakalee!","Yes, that lizard roams around the tubelights of middle class people's houses!","['HI', 'OTHER', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'OTHER']",CSW,I,16,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[2, 4, 8, 9, 13, 14]","[2, 4, 1, 4, 1, 2]"
52,test_123,test_123_0.wav,MAYA,"monisha me central london me rehne wali hun, Piccadilly Circus ke paas. Wembley ya southhall jesi middle class jagah me nhi.","Monisha lives in Central London, near Piccadilly Circus. Not in a middle class place like Wembley or Southall.","['EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'EN', 'EN', 'HI', 'EN', 'HI', 'OTHER']",CSW,I,21,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",9,"[5, 8, 10, 12, 14, 16, 18, 19, 20]","[3, 2, 2, 2, 2, 2, 1, 1, 1]"
53,test_124,test_124_0.wav,SAHIL,mere ek patient ne mujh par case kar diya. yah dekho anticipated bail lekar aa raha hoon mein. yah dekho. padho.,"One of my patients filed a case against me. Look, I am bringing the anticipated bail. Look at this. Read.","['HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'OTHER']",CSW,I,21,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[2, 4, 6, 7, 11, 12]","[2, 2, 1, 4, 1, 9]"
54,test_124,test_124_1.wav,MONISHA,anticipated bail… panch hazar rupaye!,Anticipated bail… five thousand rupees!,"['EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,5,['HI > EN'],1,[1],[4]
55,test_124,test_124_2.wav,SAHIL,usne mujh par case kyon kiya yah bataun ya wo thik hai?,Should I tell him why he filed a case against me or is it okay?,"['HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,12,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[3, 4, 8, 9]","[1, 4, 1, 3]"
56,test_127,test_127_0.wav,SAHIL,Mom acche dusri aur teesri wish?,"Mom, good second and third wish?","['EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,I,6,"['HI > EN', 'EN > HI']",2,"[1, 5]","[4, 1]"
57,test_127,test_127_1.wav,MAYA,"One second,","One second,","['EN', 'EN', 'OTHER']",EN,-1,2,-1,0,-1,-1
58,test_127,test_127_2.wav,ROSESH,"Momma,","Momma,","['EN', 'OTHER']",EN,-1,1,-1,0,-1,-1
59,test_127,test_127_3.wav,MAYA,Kya hua beta,"What happened, son","['HI', 'HI', 'HI']",HI,-1,3,-1,0,-1,-1
60,test_127,test_127_4.wav,ROSESH,Accha bathroom ke saath koi word ryme nahi kar raha hain koi word bataiyein na,"Okay, there is no word rhyming with bathroom, tell me any word.","['HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN']",CSW,I,15,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",7,"[1, 2, 5, 7, 12, 13, 14]","[1, 3, 2, 5, 1, 1, 1]"
61,test_127,test_127_5.wav,MAYA,Bathroom?,Bathroom?,"['EN', 'OTHER']",EN,-1,1,-1,0,-1,-1
62,test_12,test_12_0.wav,INDRAVARDHAN,Momma mujhe bohot achchhi lagati hai.,Mother I like very much.,"['EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,6,-1,0,-1,-1
63,test_12,test_12_1.wav,SAHIL,I know that.,I know that.,"['EN', 'EN', 'EN', 'OTHER']",EN,-1,3,-1,0,-1,-1
64,test_12,test_12_2.wav,ROSESH,"Momma pari hai, pari!","Mother, it's fairy, fairy!","['EN', 'HI', 'HI', 'OTHER', 'HI', 'OTHER']",CSW,-1,4,-1,0,-1,-1
65,test_12,test_12_3.wav,INDRAVARDHAN,Aur mai?,And me?,"['HI', 'HI', 'OTHER']",HI,-1,2,-1,0,-1,-1
